"REF_DATE","GEO","DGUID","New housing price indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-05","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","104.6","","","","1"
"2019-06","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","104.7","","","","1"
"2019-07","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","104.5","","","","1"
"2019-08","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","104.5","","","","1"
"2019-09","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","105.0","","","","1"
"2019-10","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","105.2","","","","1"
"2019-11","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","105.3","","","","1"
"2019-12","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","105.5","","","","1"
"2020-01","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","105.4","","","","1"
"2020-02","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","105.9","","","","1"
"2020-03","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","106.3","","","","1"
"2020-04","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","106.4","","","","1"
"2020-05","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","106.5","","","","1"
"2020-06","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","106.7","","","","1"
"2020-07","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","107.2","","","","1"
"2020-08","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","107.7","","","","1"
"2020-09","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","108.8","","","","1"
"2020-10","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","109.5","","","","1"
"2020-11","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","110.2","","","","1"
"2020-12","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","110.8","","","","1"
"2021-01","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","112.2","","","","1"
"2021-02","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","113.7","","","","1"
"2021-03","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","115.2","","","","1"
"2021-04","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","117.4","","","","1"
"2021-05","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","118.6","","","","1"
"2021-06","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","119.3","","","","1"
"2021-07","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","119.8","","","","1"
"2021-08","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","121.1","","","","1"
"2015-08","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","91.8","","","","1"
"2015-09","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","92.0","","","","1"
"2015-10","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","92.4","","","","1"
"2015-11","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","92.6","","","","1"
"2015-12","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","92.8","","","","1"
"2016-01","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","93.0","","","","1"
"2016-02","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","93.6","","","","1"
"2016-03","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","93.9","","","","1"
"2016-04","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","94.6","","","","1"
"2016-05","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","96.4","","","","1"
"2016-06","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","96.8","","","","1"
"2016-07","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","97.8","","","","1"
"2016-08","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","98.4","","","","1"
"2016-09","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","98.5","","","","1"
"2016-10","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","99.6","","","","1"
"2016-11","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","99.8","","","","1"
"2016-12","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","100.0","","","","1"
"2017-01","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","99.9","","","","1"
"2017-02","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","100.6","","","","1"
"2017-03","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","100.8","","","","1"
"2017-04","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","102.3","","","","1"
"2017-05","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","103.0","","","","1"
"2017-06","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","103.1","","","","1"
"2017-07","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","103.4","","","","1"
"2017-08","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","103.5","","","","1"
"2017-09","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","103.6","","","","1"
"2017-10","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","103.8","","","","1"
"2017-11","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","103.9","","","","1"
"2017-12","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","103.9","","","","1"
"2018-01","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","104.0","","","","1"
