Date,BTC-USD,ETH-USD
2015-08-06,279.5849914550781,2.7721199989318848
2015-08-07,260.99700927734375,0.7533249855041504
2015-08-08,265.0830078125,0.7018970251083374
2015-08-09,264.4700012207031,0.7084479928016663
2015-08-10,270.385986328125,1.0678600072860718
2015-08-11,266.3760070800781,1.2174400091171265
2015-08-12,264.0799865722656,1.8276699781417847
2015-08-13,265.67999267578125,1.8278700113296509
2015-08-14,261.5509948730469,1.6888999938964844
2015-08-15,258.5069885253906,1.5660300254821777
2015-08-16,257.97601318359375,1.2036099433898926
2015-08-17,211.07899475097656,1.087049961090088
2015-08-18,226.6840057373047,1.2588599920272827
2015-08-19,235.35000610351562,1.4649200439453125
2015-08-20,232.56900024414062,1.3952900171279907
2015-08-21,230.38999938964844,1.37923002243042
2015-08-22,228.16900634765625,1.3525899648666382
2015-08-23,210.4949951171875,1.2312699556350708
2015-08-24,221.60899353027344,1.1401900053024292
2015-08-25,225.83099365234375,1.159980058670044
2015-08-26,224.7689971923828,1.1476999521255493
2015-08-27,231.39599609375,1.1913800239562988
2015-08-28,229.77999877929688,1.1825499534606934
2015-08-29,228.76100158691406,1.3192700147628784
2015-08-30,230.05599975585938,1.358240008354187
2015-08-31,228.12100219726562,1.3516099452972412
2015-09-01,229.28399658203125,1.2947900295257568
2015-09-02,227.18299865722656,1.264930009841919
2015-09-03,230.29800415039062,1.2744100093841553
2015-09-04,235.0189971923828,1.3388099670410156
2015-09-05,239.83999633789062,1.2958300113677979
2015-09-06,239.8470001220703,1.246649980545044
2015-09-07,243.60699462890625,1.2424299716949463
2015-09-08,238.16799926757812,1.2065099477767944
2015-09-09,238.4770050048828,1.1657700538635254
2015-09-10,240.10699462890625,0.9829779863357544
2015-09-11,235.22900390625,1.0387400388717651
2015-09-12,230.51199340820312,0.9360030293464661
2015-09-13,230.6439971923828,0.8756219744682312
2015-09-14,230.3040008544922,0.9444100260734558
2015-09-15,229.09100341796875,0.9071750044822693
2015-09-16,229.80999755859375,0.8742309808731079
2015-09-17,232.97500610351562,0.8536850214004517
2015-09-18,231.4929962158203,0.8823909759521484
2015-09-19,231.21200561523438,0.938444972038269
2015-09-20,227.0850067138672,0.9190469980239868
2015-09-21,230.6179962158203,0.9017959833145142
2015-09-22,230.2830047607422,0.8934059739112854
2015-09-23,234.5290069580078,0.8136100172996521
2015-09-24,235.1439971923828,0.7362229824066162
2015-09-25,234.33999633789062,0.7859640121459961
2015-09-26,232.7570037841797,0.7208390235900879
2015-09-27,239.14199829101562,0.5828859806060791
2015-09-28,236.68699645996094,0.6611459851264954
2015-09-29,236.05999755859375,0.738644003868103
2015-09-30,237.5489959716797,0.690214991569519
2015-10-01,237.29299926757812,0.6785740256309509
2015-10-02,238.72999572753906,0.6871709823608398
2015-10-03,238.25900268554688,0.668379008769989
2015-10-04,240.38299560546875,0.6286429762840271
2015-10-05,246.06300354003906,0.6506450176239014
2015-10-06,242.968994140625,0.609387993812561
2015-10-07,242.3040008544922,0.6217160224914551
2015-10-08,243.93099975585938,0.6506279706954956
2015-10-09,244.9409942626953,0.6278570294380188
2015-10-10,247.0500030517578,0.6349629759788513
2015-10-11,245.30799865722656,0.6260300278663635
2015-10-12,249.50799560546875,0.6076549887657166
2015-10-13,251.98899841308594,0.5229679942131042
2015-10-14,254.32000732421875,0.5618780255317688
2015-10-15,262.8689880371094,0.5364949703216553
2015-10-16,270.6400146484375,0.5471779704093933
2015-10-17,261.64300537109375,0.5177339911460876
2015-10-18,263.43701171875,0.48901399970054626
2015-10-19,269.4630126953125,0.4348289966583252
2015-10-20,266.2720031738281,0.44732901453971863
2015-10-21,274.02301025390625,0.5677019953727722
2015-10-22,276.4960021972656,0.5396569967269897
2015-10-23,281.65399169921875,0.5635899901390076
2015-10-24,283.67999267578125,0.616038978099823
2015-10-26,285.29998779296875,0.7313169836997986
2015-10-27,293.7879943847656,0.8696410059928894
2015-10-28,304.6180114746094,1.0024800300598145
2015-10-29,313.8550109863281,1.2066600322723389
2015-10-30,328.0150146484375,1.04121994972229
2015-10-31,314.1659851074219,0.9166269898414612
2015-11-01,325.4309997558594,1.0556700229644775
2015-11-02,361.1889953613281,0.9897890090942383
2015-11-03,403.4169921875,1.0133600234985352
2015-11-04,411.56298828125,0.8990499973297119
2015-11-05,386.35400390625,0.8956369757652283
2015-11-06,374.4700012207031,0.9260320067405701
2015-11-07,386.48199462890625,0.9279739856719971
2015-11-08,373.3680114746094,1.0274699926376343
2015-11-09,380.2569885253906,0.9992780089378357
2015-11-10,336.8190002441406,0.9343479871749878
2015-11-11,311.0840148925781,0.791828989982605
2015-11-12,338.1520080566406,0.8957110047340393
2015-11-13,336.75299072265625,0.9040960073471069
2015-11-14,332.906005859375,0.8888120055198669
2015-11-15,320.1659851074219,0.9063680171966553
2015-11-16,330.7510070800781,0.928961992263794
2015-11-17,335.093994140625,1.0079799890518188
2015-11-18,334.5899963378906,0.9933189749717712
2015-11-19,326.14898681640625,0.9555320143699646
2015-11-20,322.0220031738281,0.9249200224876404
2015-11-21,326.927001953125,0.976140022277832
2015-11-22,324.5360107421875,0.9680179953575134
2015-11-23,323.0459899902344,0.9469689726829529
2015-11-24,320.0459899902344,0.9001910090446472
2015-11-25,328.20599365234375,0.8635370135307312
2015-11-26,352.6839904785156,0.8841829895973206
2015-11-27,358.0419921875,0.867950975894928
2015-11-28,357.3810119628906,0.9157029986381531
2015-11-29,371.29400634765625,0.8786140084266663
2015-11-30,377.3210144042969,0.8731189966201782
2015-12-01,362.4880065917969,0.8748000264167786
